  t                         alpha1                        alpha2                        alpha3                        alpha4                        alpha5
  0.18700000000000000       0.76630177483136463        1.4068805366027737        1.1149971919683299       0.88329506331850494       0.72430829923873152     
  0.18800000000000000       0.77460189885246344        1.4178539790136515        1.1229291241421009       0.88937703610784546       0.72922234838931255     
  0.18900000000000000       0.78293409455159690        1.4288354580770890        1.1308629021695484       0.89545977804375498       0.73413684126059409     
  0.19000000000000000       0.79129819863283135        1.4398248258364719        1.1387984771218500       0.90154326538382723       0.73905176320256127     
  0.19100000000000000       0.79969404863125360        1.4508219370584778        1.1467358013666658       0.90762747512299580       0.74396710005249944     
  0.19200000000000000       0.80812148290874464        1.4618266491829621        1.1546748285337900       0.91371238497057128       0.74888283811872736     
  0.19300000000000000       0.81658034064977614        1.4728388222737605        1.1626155134817184       0.91979797332799373       0.75379895224928284     
  0.19400000000000001       0.82507046185722843        1.4838583189704042        1.1705577571060310       0.92588421926727960       0.75871544179106665     
  0.19500000000000001       0.83359168734822753        1.4948850044407154        1.1785015799438676       0.93197110251013904       0.76363229444266145     
  0.19600000000000001       0.84214385875000686        1.5059187463342822        1.1864469397288488       0.93805860340774527       0.76854949830545183     
  0.19700000000000001       0.85072681849578813        1.5169594147367842        1.1943937953309240       0.94414670292113467       0.77346704187043891     
  0.19800000000000001       0.85934040982068016        1.5280068821251620        1.2023421067257554       0.95023538260221763       0.77838491400548793     
  0.19900000000000001       0.86798447675760626        1.5390610233236099        1.2102918349649310       0.95632462457537992       0.78330310394299130     
  0.20000000000000001       0.87665886413324201        1.5501217154603790        1.2182429421469778       0.96241441151966023       0.78822160126793650     
  0.20100000000000001       0.88536341756398451        1.5611888379253742        1.2261953913891561       0.96850471099620217       0.79314039590636465     
  0.20200000000000001       0.89409798345193348        1.5722622723285324        1.2341491468000176       0.97459552259400950       0.79805947811420586     
  0.20300000000000001       0.90286240898089698        1.5833419024589650        1.2421041734527016       0.98068683064383744       0.80297883846648055     
  0.20400000000000001       0.91165654211241787        1.5944276142448559        1.2500604373589530       0.98677861995555183       0.80789846784685426     
  0.20500000000000002       0.92048023158181580        1.6055192957140929        1.2580179054438370       0.99287087580348288       0.81281835743753450     
  0.20600000000000002       0.92933332689425729        1.6166168369556262        1.2659765455211400       0.99896358391222928       0.81773849870949722     
  0.20700000000000002       0.93821567832083752        1.6277201300815365        1.2739363262694332        1.0050567304428943       0.82265888341303439     
  0.20800000000000002       0.94712713689468697        1.6388290691898013        1.2818972172087790        1.0111503019797428       0.82757950356861065     
  0.20899999999999999       0.95606755440709634        1.6499435503277502        1.2898591886780666        1.0172442855172674       0.83250035145801793     
  0.20999999999999999       0.96503678340366306        1.6610634714561847        1.2978222118129614        1.0233386684476478       0.83742141961582217     
  0.21099999999999999       0.97403467718045256        1.6721887324141658        1.3057862585244446        1.0294334385485941       0.84234270082108620     
  0.21199999999999999       0.98306108978018403        1.6833192348844439        1.3137513014779338        1.0355285839715631       0.84726418808936788     
  0.21299999999999999       0.99211587598843487        1.6944548823595302        1.3217173140729672        1.0416240932303327       0.85218587466497742     
  0.21400000000000000        1.0011988913298602        1.7055955801083880        1.3296842704234324        1.0477199551899263       0.85710775401348771     
  0.21500000000000000        1.0103099920644376        1.7167412351437383        1.3376521453383312        1.0538161590558766       0.86202981981449156     
  0.21600000000000000        1.0194490351837262        1.7278917561899687        1.3456209143030629        1.0599126943638160       0.86695206595459495     
  0.21700000000000000        1.0286158784071466        1.7390470536516300        1.3535905534612085        1.0660095509693865       0.87187448652064015     
  0.21800000000000000        1.0378103801782810        1.7502070395825138        1.3615610395968110        1.0721067190384548       0.87679707579314958     
  0.21900000000000000        1.0470323996611894        1.7613716276553004        1.3695323501171279        1.0782041890376328       0.88171982823998529     
  0.22000000000000000        1.0562817967367470        1.7725407331317635        1.3775044392625151        1.0843019517250811       0.88664273851021680     
  0.22100000000000000        1.0655584319989968        1.7837142728335229        1.3854773096385411        1.0903999981415968       0.89156580142818675     
  0.22200000000000000        1.0748621667515268        1.7948921651133365        1.3934509405283408        1.0964983196019753       0.89648901198777320     
  0.22300000000000000        1.0841928630038573        1.8060743298269211        1.4014253117641067        1.1025969076866309       0.90141236534683988     
  0.22400000000000000        1.0935503834678564        1.8172606883052911        1.4094004037125412        1.1086957542334797       0.90633585682186624     
  0.22500000000000001        1.1029345915541626        1.8284511633276037        1.4173761972606924        1.1147948513300656       0.91125948188275419     
